ZCTA20,TOTPOP,MEDFAMINC
02630,1922,154313.0
02631,10176,141860.0
02632,11929,127850.0
02633,4667,122039.0
02635,3007,123542.0
02637,323,
02638,3146,109861.0
02639,3308,83281.0
02641,319,
02642,5724,106087.0
02643,0,
02644,3838,155175.0
02645,10930,103951.0
02646,1950,95909.0
02647,159,
02648,7774,142708.0
02649,15144,122902.0
02650,1024,64604.0
02652,996,
02653,6322,133750.0
02655,3441,120795.0
02657,3630,136458.0
02659,916,162721.0
02660,6604,113906.0
02663,462,204129.0
02664,9282,97359.0
02666,631,141534.0
02667,3890,134167.0
02668,2465,109947.0
02670,1340,153125.0
02671,750,127727.0
02672,28,
02673,9246,80922.0
02675,7185,127151.0
02702,4416,122361.0
02703,46356,109711.0
02713,32,126250.0
02715,3620,131528.0
02717,4783,135658.0
02718,7213,112576.0
02719,15899,108469.0
02720,30558,72389.0
02721,26807,71394.0
02723,17164,49583.0
02724,18445,53395.0
02725,2359,137778.0
02726,15907,113767.0
02738,5305,121000.0
02739,6511,135168.0
02740,46623,68236.0
02743,10466,110738.0
02744,12465,58625.0
02745,25084,92862.0
02746,16286,41875.0
02747,21383,120640.0
02748,11431,138955.0
02760,29149,137447.0
02762,9814,107163.0
02763,1601,143438.0
02764,4463,125925.0
02766,19177,132467.0
02767,15432,133267.0
02769,12614,137150.0
02770,5564,130799.0
02771,15475,130282.0
02777,17158,124831.0
02779,6768,153077.0
02780,51915,90847.0
02790,16431,105714.0
02791,371,145791.0
02802,702,121726.0
02804,2560,98208.0
02806,17121,171558.0
02807,962,83333.0
02808,2328,89650.0
02809,22420,124135.0
02812,1038,128446.0
02813,7998,128506.0
02814,7444,107446.0
02815,134,
02816,33148,111280.0
02817,6535,121719.0
02818,19876,182200.0
02822,6241,114940.0
02823,17,
02824,291,
02825,5872,122577.0
02826,396,72102.0
02827,2286,129375.0
02828,7263,132689.0
02829,82,
02830,6766,133859.0
02831,3840,149175.0
02832,4887,111691.0
02833,670,114063.0
02835,5554,169625.0
02836,87,
02837,3622,173587.0
02838,3468,77152.0
02839,1598,98194.0
02840,23847,111152.0
02841,1240,
02842,17009,118382.0
02852,23382,137700.0
02857,8031,129167.0
02858,286,89718.0
02859,7295,124597.0
02860,47677,71069.0
02861,27527,93786.0
02863,22359,47716.0
02864,36142,127078.0
02865,18306,129877.0
02871,17748,148750.0
02872,98,
02873,97,
02874,6376,159234.0
02875,176,
02876,659,95650.0
02878,16324,119651.0
02879,22369,123604.0
02881,7177,53024.0
02882,13238,125662.0
02885,11117,114250.0
02886,30540,112637.0
02888,18443,100842.0
02889,28209,94161.0
02891,22026,115179.0
02892,5920,120104.0
02893,30909,86769.0
02894,609,79674.0
02895,43163,64314.0
02896,11449,118889.0
02898,1857,128750.0
02903,12039,102973.0
02904,31214,80348.0
02905,25674,87870.0
02906,26437,176283.0
02907,32697,47909.0
02908,39099,77140.0
02909,42629,68215.0
02910,23598,97373.0
02911,15866,91150.0
02912,4809,
02914,21742,81229.0
02915,16415,117948.0
02916,8855,115830.0
02917,14868,124679.0
02918,2960,
02919,29453,105122.0
02920,36907,94765.0
02921,12205,148065.0
03031,11814,175000.0
03032,5949,140960.0
03033,5659,166842.0
03034,4202,130823.0
03036,5237,141875.0
03037,4700,130598.0
03038,34506,112887.0
03042,7180,114099.0
03043,1444,106389.0
03044,4738,130140.0
03045,14165,127417.0
03046,3000,150549.0
03047,1784,108344.0
03048,3489,101181.0
03049,8429,162627.0
03051,25385,151920.0
03052,8484,146394.0
03053,25780,145604.0
03054,27139,135505.0
03055,16151,117298.0
03057,2607,171071.0
03060,31469,91759.0
03062,28866,119309.0
03063,15941,120688.0
03064,14667,105508.0
03070,6099,140781.0
03071,5244,99948.0
03076,14221,140099.0
03077,10773,110521.0
03079,30350,123971.0
03082,1606,117266.0
03084,1372,130750.0
03086,4116,114966.0
03087,15764,178229.0
03101,3228,115833.0
03102,33759,83650.0
03103,37093,77155.0
03104,34962,104342.0
03106,14654,122750.0
03109,10374,120450.0
03110,23385,176385.0
03215,248,109375.0
03216,2041,107895.0
03217,2239,73977.0
03218,1535,95417.0
03220,7454,100319.0
03221,2263,108333.0
03222,5894,83045.0
03223,3380,108295.0
03224,2343,151944.0
03225,3406,106198.0
03226,820,122574.0
03227,1461,126685.0
03229,5925,138603.0
03230,1491,90893.0
03231,110,
03233,209,126250.0
03234,4846,104259.0
03235,8827,89824.0
03237,2338,109280.0
03238,81,75417.0
03240,1200,74196.0
03241,1144,106500.0
03242,6094,127963.0
03243,902,96765.0
03244,7666,99410.0
