zip,stabbr,cty_name,est_per_capita,MEDFAMINC
02341,MA,PLYMOUTH,0.020070389042138304,136591.0
02343,MA,NORFOLK,0.023400106364119835,118561.0
02346,MA,PLYMOUTH,0.024229437942970167,99132.0
02347,MA,PLYMOUTH,0.027010752688172043,135335.0
02351,MA,PLYMOUTH,0.02087866847026995,141979.0
02356,MA,BRISTOL,0.023522662076878944,141350.0
02359,MA,PLYMOUTH,0.029678123295144573,160781.0
02360,MA,PLYMOUTH,0.028056405914153586,126892.0
02364,MA,PLYMOUTH,0.02890089038096628,145268.0
02367,MA,PLYMOUTH,0.023947998631542934,125000.0
02368,MA,NORFOLK,0.019167122341497107,110905.0
02370,MA,PLYMOUTH,0.028835844478302577,118882.0
02375,MA,BRISTOL,0.03756195113468394,160139.0
02379,MA,PLYMOUTH,0.04955543933054393,134091.0
02382,MA,PLYMOUTH,0.017628416743694704,121957.0
02420,MA,MIDDLESEX,0.03044754218635363,250001.0
02421,MA,MIDDLESEX,0.031066330814441646,237219.0
02445,MA,NORFOLK,0.0212890978123305,208512.0
02446,MA,NORFOLK,0.022305422470412794,185417.0
02451,MA,MIDDLESEX,0.06714184667283313,162938.0
02452,MA,MIDDLESEX,0.027289955780164243,136228.0
02453,MA,MIDDLESEX,0.028025687469125638,128263.0
02458,MA,MIDDLESEX,0.04108295293562097,208947.0
02459,MA,MIDDLESEX,0.036231884057971016,239335.0
02460,MA,MIDDLESEX,0.026092233009708737,186645.0
02461,MA,MIDDLESEX,0.03617534402042843,229534.0
02462,MA,MIDDLESEX,0.07440890125173853,243542.0
02464,MA,MIDDLESEX,0.06366279069767442,151630.0
02465,MA,MIDDLESEX,0.027235050325636473,213267.0
02466,MA,MIDDLESEX,0.032057794333446216,200984.0
02467,MA,MIDDLESEX,0.02201851766548436,250001.0
02468,MA,MIDDLESEX,0.016639828234031134,250001.0
02472,MA,MIDDLESEX,0.029688385269121813,144302.0
02474,MA,MIDDLESEX,0.016224660063194517,176458.0
02476,MA,MIDDLESEX,0.02452223913411128,178339.0
02478,MA,MIDDLESEX,0.02251149681056223,201730.0
02481,MA,NORFOLK,0.041169590643274856,250001.0
02482,MA,NORFOLK,0.038349691021446745,250001.0
02492,MA,NORFOLK,0.02732163080407701,244180.0
02493,MA,MIDDLESEX,0.026958074666213114,250001.0
02494,MA,NORFOLK,0.06614026939154669,250001.0
02532,MA,BARNSTABLE,0.025282615337610753,90479.0
02534,MA,BARNSTABLE,0.04041095890410959,164351.0
02535,MA,DUKES,0.027765535478184222,145357.0
02536,MA,BARNSTABLE,0.020469654215887895,106182.0
02537,MA,BARNSTABLE,0.02200374531835206,157838.0
02538,MA,PLYMOUTH,0.0258121940364931,96602.0
02539,MA,DUKES,0.06609808102345416,105458.0
02540,MA,BARNSTABLE,0.05316308763784097,141094.0
02542,MA,BARNSTABLE,0.009138381201044387,47321.0
02543,MA,BARNSTABLE,0.0599250936329588,121528.0
02554,MA,NANTUCKET,0.08419305966380491,144740.0
02556,MA,BARNSTABLE,0.03873684210526316,173438.0
02557,MA,DUKES,0.13305613305613306,120412.0
02558,MA,PLYMOUTH,0.02197802197802198,101394.0
02559,MA,BARNSTABLE,0.041497659906396256,120242.0
02561,MA,BARNSTABLE,0.06444906444906445,168750.0
02562,MA,BARNSTABLE,0.026685796269727405,135476.0
02563,MA,BARNSTABLE,0.04071597167584579,148281.0
02568,MA,DUKES,0.05089505089505089,112169.0
02571,MA,PLYMOUTH,0.031433998100664766,111000.0
02575,MA,DUKES,0.04681504221028396,129526.0
02576,MA,PLYMOUTH,0.02315024965955515,62284.0
02601,MA,BARNSTABLE,0.07206892536965886,80163.0
02630,MA,BARNSTABLE,0.04422476586888657,154313.0
02631,MA,BARNSTABLE,0.03164308176100629,141860.0
02632,MA,BARNSTABLE,0.023891357196747422,127850.0
02633,MA,BARNSTABLE,0.05185343904006857,122039.0
02635,MA,BARNSTABLE,0.03126039241769205,123542.0
02638,MA,BARNSTABLE,0.028289891926255563,109861.0
02639,MA,BARNSTABLE,0.041112454655380895,83281.0
02642,MA,BARNSTABLE,0.024633123689727462,106087.0
02644,MA,BARNSTABLE,0.021104742053152683,155175.0
02645,MA,BARNSTABLE,0.02516010978956999,103951.0
02646,MA,BARNSTABLE,0.06153846153846154,95909.0
02648,MA,BARNSTABLE,0.026369951119114998,142708.0
02649,MA,BARNSTABLE,0.034006867406233494,122902.0
02650,MA,BARNSTABLE,0.0458984375,64604.0
02653,MA,BARNSTABLE,0.0621638721923442,133750.0
02655,MA,BARNSTABLE,0.06538796861377506,120795.0
02657,MA,BARNSTABLE,0.10055096418732783,136458.0
02659,MA,BARNSTABLE,0.05131004366812227,162721.0
02660,MA,BARNSTABLE,0.03709872804360993,113906.0
02663,MA,BARNSTABLE,0.04112554112554113,204129.0
02664,MA,BARNSTABLE,0.03749191984486102,97359.0
02666,MA,BARNSTABLE,0.07448494453248812,141534.0
02667,MA,BARNSTABLE,0.038560411311053984,134167.0
02668,MA,BARNSTABLE,0.04503042596348884,109947.0
02670,MA,BARNSTABLE,0.04776119402985075,153125.0
02671,MA,BARNSTABLE,0.07733333333333334,127727.0
02673,MA,BARNSTABLE,0.027579493835171966,80922.0
02675,MA,BARNSTABLE,0.02616562282533055,127151.0
02702,MA,BRISTOL,0.028759057971014492,122361.0
02703,MA,BRISTOL,0.020730865475882303,109711.0
02713,MA,DUKES,0.3125,126250.0
02715,MA,BRISTOL,0.021270718232044197,131528.0
02717,MA,BRISTOL,0.02529793016934978,135658.0
02718,MA,BRISTOL,0.014695688340496326,112576.0
02719,MA,BRISTOL,0.02666834392100132,108469.0
02720,MA,BRISTOL,0.024347143137639898,72389.0
02721,MA,BRISTOL,0.02286716156227851,71394.0
02723,MA,BRISTOL,0.015206245630389187,49583.0
02724,MA,BRISTOL,0.012198427758200054,53395.0
02725,MA,BRISTOL,0.027977956761339552,137778.0
02726,MA,BRISTOL,0.01854529452442321,113767.0
02738,MA,PLYMOUTH,0.030348727615457115,121000.0
02739,MA,PLYMOUTH,0.03071724773460298,135168.0
02740,MA,BRISTOL,0.019968684983806276,68236.0
02743,MA,BRISTOL,0.01758073762660042,110738.0
02744,MA,BRISTOL,0.013798636181307661,58625.0
